IdFanModel,Model,Voltage,Frequency,Link,Giri,PotenzaAssorbita,CorrenteAssorbita,Xmin,Xmax,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
126,"FE063-AD_.4I._",400,50,1,480,190,0.38,2770.49,6852.46,2770.49,3180.33,3573.77,4000,4393.44,4803.28,5213.11,5622.95,6016.39,6442.62,6852.46,41.01,37.74,34.93,31.97,28.85,25.42,21.52,17.47,12.63,7.02,0.31,0,0
127,"FE063-SD_.4I._",400,50,0,900,690,1.25,5626.23,11272.13,5626.23,6177.05,6747.54,7298.36,7868.85,8439.34,9009.84,9560.66,10131.15,10681.97,11272.13,130.18,121.72,113.53,103.98,93.88,82.14,70.68000000000001,55.95,40.66,20.19,0.27,0,0
128,"FE063-SD_.4I._",400,50,1,690,480,0.78,5744.26,9619.67,5744.26,6137.7,6511.48,6885.25,7298.36,7691.8,8065.57,8439.34,8852.459999999999,9226.23,9619.67,64.13,59.22,55.4,50.21,45.3,39.57,33.29,26.74,18.28,10.1,0.55,0,0
129,"FE063-VD_.6N._",400,50,0,1310,2600,4.8,9261.08,20295.57,9261.08,10364.53,11467.98,12571.43,13674.88,14738.92,15881.77,16985.22,18049.26,19152.71,20295.57,272.36,261.99,249.43,235.79,219.41,197.58,169.75,139.18,101.52,56.76,1.64,0,0
130,"FE063-VD_.6N._",400,50,1,1000,1600,2.7,7369.46,16078.82,7369.46,8236.450000000001,9064.040000000001,9970.440000000001,10837.44,11704.43,12610.84,13438.42,14305.42,15172.41,16078.82,157.74,150.64,143,132.63,121.17,105.34,90.06,72.05,51.31,26.2,1.09,0,0
131,"FE071-AD_.6F._",400,50,0,680,420,0.9399999999999999,5744.26,11291.8,5744.26,6275.41,6845.9,7416.39,7947.54,8498.360000000001,9068.85,9639.35,10170.49,10740.98,11291.8,78.75,76.42,73,68.64,61.63,54.32,44.98,34.86,24.28,12.3,0.47,0,0
132,"FE071-AD_.6F._",400,50,1,510,300,0.58,4445.9,9383.610000000001,4445.9,4918.03,5429.51,5921.31,6393.44,6904.92,7377.05,7868.85,8380.33,8872.129999999999,9383.610000000001,42.02,40.62,38.75,35.64,32.37,28.02,23.35,17.9,12.3,6.54,0.16,0,0
133,"FE071-ND_.6F._",400,50,0,450,160,0.45,3888.71,7345.34,3888.71,4229.13,4582.65,4909.98,5263.5,5617.02,5957.45,6310.97,6638.3,6991.82,7345.34,37.43,36.26,34.23,31.42,28.23,24.72,20.43,15.83,10.84,5.69,0.16,0,0
134,"FE071-ND_.6F._",400,50,1,360,90,0.22,3325.7,6232.41,3325.7,3613.75,3901.8,4189.85,4491,4765.96,5054.01,5355.16,5656.3,5944.35,6232.41,23.24,22.14,20.66,18.95,16.84,14.74,12.32,9.75,6.78,3.82,0.16,0,0
135,"FE071-SD_.6F._",400,50,0,900,980,1.75,7986.09,14998.26,7986.09,8653.91,9349.57,10073.04,10768.7,11492.17,12187.83,12855.65,13579.13,14302.61,14998.26,134.49,128.7,121.16,112.17,101.45,89.84999999999999,76.23,61.45,42.61,23.19,0.58,0,0
