IdFanModel,Model,Voltage,Frequency,Xmin,Xmax,Giri,PotenzaAssorbita,CorrenteAssorbita,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,PotenzaSonora,PressioneSonora
76,"FB063-6E_.4I._P",105,50,2999.32,4574.23,370,210,0.23,2999.32,3142.51,3317.53,3476.62,3635.74,3794.84,3953.93,4113,4272.01,4415.1,4574.23,10.03,9.24,8.289999999999999,7.34,6.55,5.6,4.65,3.54,2.12,0.7,-0.06,0,0
77,"FB063-8E_.4F._L",230,50,4250,6355.26,620,230,0.11,4250,4460.53,4671.05,4881.58,5092.11,5302.63,5539.47,5710.53,5934.21,6157.9,6355.26,32.11,30.23,27.77,25.2,22.38,19.22,15.47,12.42,8.550000000000001,4.45,0,0,0
78,"FB063-8E_.4F._L",160,50,2986.84,5144.74,430,130,0.9399999999999999,2986.84,3197.37,3407.89,3631.58,3842.11,4078.95,4289.47,4500,4710.53,4934.21,5144.74,15.59,14.53,13.36,12.19,10.78,9.49,7.85,6.09,4.1,1.76,0.12,0,0
79,"FB063-8E_.4F._L",130,50,2263.16,3907.89,330,90,0.8100000000000001,2263.16,2421.05,2592.11,2750,2921.05,3078.95,3263.16,3394.74,3565.79,3750,3907.89,9.02,8.199999999999999,7.5,6.56,5.74,4.92,3.87,3.16,2.11,0.9399999999999999,0,0,0
80,"FB063-8E_.4F._L",105,50,1851.26,2901.6,250,60,0.67,1851.26,1948.51,2065.22,2162.47,2269.45,2366.7,2473.68,2580.66,2697.37,2794.62,2901.6,4.97,4.54,3.93,3.5,3.07,2.72,2.2,1.68,1.16,0.47,0.04,0,0
81,"FB063-8E_.4I._P",230,50,5013.56,7315.26,640,290,0.15,5013.56,5228.8,5469.38,5709.9,5937.6,6152.64,6392.95,6620.45,6860.63,7087.94,7315.26,32.91,30.92,28.75,26.3,23.32,20.42,17.08,13.19,9.300000000000001,4.6,-0.06,0,0
82,"FB063-8E_.4I._P",160,50,3563.35,5653.07,450,190,0.14,3563.35,3766.09,3981.44,4184.14,4399.43,4602.07,4817.36,5032.62,5222.55,5437.8,5653.07,16.75,15.57,14.03,12.67,10.86,9.23,7.42,5.52,3.8,1.81,-0.04,0,0
83,"FB063-8E_.4I._P",130,50,2511.97,4144.98,330,135,0.125,2511.97,2661.39,2840.69,3000.04,3169.35,3328.67,3497.95,3647.3,3806.55,3975.77,4144.98,8.699999999999999,8.130000000000001,7.49,6.77,6.06,5.21,4.35,3.5,2.36,1.22,0.03,0,0
84,"FB063-8E_.4I._P",105,50,1982.76,3068.29,250,87,0.105,1982.76,2092.31,2191.9,2301.47,2411.02,2520.59,2630.12,2739.67,2859.17,2958.69,3068.29,5.08,4.58,4.16,3.73,3.23,2.8,2.23,1.73,1.17,0.38,0.11,0,0
85,"FB063-8E_.4I._S",230,50,5518.81,7565.88,620,340,0.16,5518.81,5718.2,5930.88,6116.98,6342.95,6529.05,6741.73,6954.41,7140.51,7366.49,7565.88,30.01,28.12,25.83,23.31,20.7,17.79,14.79,11.24,7.76,3.74,0.03,0,0
86,"FB063-8E_.4I._S",160,50,3976.86,5678.32,430,210,0.145,3976.86,4149.66,4309.17,4468.68,4654.78,4840.88,4987.1,5146.61,5332.71,5505.51,5678.32,14.71,13.37,12.18,10.84,9.5,8,6.58,5.08,3.35,1.77,0.03,0,0
87,"FB063-8E_.4I._S",130,50,2979.9,4242.71,340,145,0.13,2979.9,3112.83,3219.17,3365.39,3471.73,3604.66,3737.59,3883.81,3990.15,4123.07,4242.71,8.949999999999999,8.24,7.45,6.58,5.79,4.92,3.98,3.03,2.01,0.98,0.05,0,0
88,"FB063-8E_.4I._S",105,50,2368.44,3179.29,250,92,0.105,2368.44,2434.9,2527.95,2607.71,2700.76,2780.51,2860.27,2940.03,3019.78,3099.54,3179.29,4.92,4.69,4.29,3.9,3.43,2.95,2.48,2.01,1.37,0.66,0.03,0,0
89,"FC031-2E_.3F._",230,50,2502.1,3802.6,2650,470,0.21,2502.1,2636.12,2755.25,2889.27,3023.29,3152.35,3281.4,3410.46,3534.56,3658.65,3802.6,202.72,196.35,185.74,170.88,151.78,129.14,105.09,79.97,54.5,27.27,0.03,0,0
90,"FC031-2E_.3F._",160,50,1608.63,2859.49,1700,380,0.25,1608.63,1732.72,1856.82,1980.91,2109.97,2234.06,2358.15,2482.25,2606.34,2735.4,2859.49,82.09999999999999,75.73,69.36,62.29,54.5,47.07,38.59,29.74,19.84,9.58,0.33,0,0
